entity_id,sku,small_image
370932,3S1152B-BLACK,/3/S/3S1152B-BLACK_1.jpeg
370928,D23JP427-PINK,/D/2/D23JP427-PINK_1.jpeg
370924,M23DS723-RED,/M/2/M23DS723-RED_1.jpeg
370920,2Z3059B-BLACK,/2/Z/2Z3059B-BLACK_1.jpeg
370916,M23DS723-BLACK,/M/2/M23DS723-BLACK_1.jpeg
370912,2Z3059B-APRICOT,/2/Z/2Z3059B-APRICOT_1.jpeg
370908,M23TP721-PINK,/M/2/M23TP721-PINK_1.jpeg
370904,M23ST703-COLOR2,/M/2/M23ST703-COLOR2_1.jpeg
370900,M23ST703-COLOR1,/M/2/M23ST703-COLOR1_1.jpeg
370896,2Z3059B-PINK,/2/Z/2Z3059B-PINK_1.jpeg
370892,2S1964B-WHITE,/2/S/2S1964B-WHITE_1.jpeg
370888,M23TP707-CLARET,/M/2/M23TP707-CLARET_1.jpeg
370884,2S5247B-PINK,/2/S/2S5247B-PINK_1.jpeg
370880,"2S5247B-ROSE RED",/2/S/2S5247B-ROSE_RED_1.jpeg
370876,D23DS391-BLUE,/D/2/D23DS391-BLUE_1.jpeg
