image_index,resolution1,resolution2,similarity
4,920x1300,920x1300,1.0
5,83x110,83x110,1.0
5,83x110,128x128,0.625
5,83x110,355x503,0.90625
5,83x110,500x500,0.625
5,83x110,1000x1000,0.625
5,83x110,920x1300,0.90625
5,128x128,83x110,0.625
5,128x128,128x128,1.0
5,128x128,355x503,0.53125
5,128x128,500x500,1.0
5,128x128,1000x1000,1.0
5,128x128,920x1300,0.53125
5,355x503,83x110,0.90625
5,355x503,128x128,0.53125
5,355x503,355x503,1.0
5,355x503,500x500,0.53125
5,355x503,1000x1000,0.53125
5,355x503,920x1300,1.0
5,500x500,83x110,0.625
5,500x500,128x128,1.0
5,500x500,355x503,0.53125
5,500x500,500x500,1.0
5,500x500,1000x1000,1.0
5,500x500,920x1300,0.53125
5,1000x1000,83x110,0.625
5,1000x1000,128x128,1.0
5,1000x1000,355x503,0.53125
5,1000x1000,500x500,1.0
5,1000x1000,1000x1000,1.0
5,1000x1000,920x1300,0.53125
5,920x1300,83x110,0.90625
5,920x1300,128x128,0.53125
5,920x1300,355x503,1.0
5,920x1300,500x500,0.53125
5,920x1300,1000x1000,0.53125
5,920x1300,920x1300,1.0
6,83x110,83x110,1.0
6,83x110,128x128,0.6875
6,83x110,355x503,0.96875
6,83x110,500x500,0.6875
6,83x110,1000x1000,0.6875
6,83x110,920x1300,1.0
6,128x128,83x110,0.6875
6,128x128,128x128,1.0
6,128x128,355x503,0.6875
6,128x128,500x500,1.0
6,128x128,1000x1000,0.96875
6,128x128,920x1300,0.6875
6,355x503,83x110,0.96875
6,355x503,128x128,0.6875
6,355x503,355x503,1.0
6,355x503,500x500,0.6875
6,355x503,1000x1000,0.6875
6,355x503,920x1300,0.96875
6,500x500,83x110,0.6875
6,500x500,128x128,1.0
6,500x500,355x503,0.6875
6,500x500,500x500,1.0
6,500x500,1000x1000,0.96875
6,500x500,920x1300,0.6875
6,1000x1000,83x110,0.6875
6,1000x1000,128x128,0.96875
6,1000x1000,355x503,0.6875
6,1000x1000,500x500,0.96875
6,1000x1000,1000x1000,1.0
6,1000x1000,920x1300,0.6875
6,920x1300,83x110,1.0
6,920x1300,128x128,0.6875
6,920x1300,355x503,0.96875
6,920x1300,500x500,0.6875
6,920x1300,1000x1000,0.6875
6,920x1300,920x1300,1.0
7,83x110,83x110,1.0
7,83x110,128x128,0.8125
7,83x110,355x503,0.875
7,83x110,500x500,0.75
7,83x110,1000x1000,0.75
7,83x110,920x1300,0.90625
7,128x128,83x110,0.8125
7,128x128,128x128,1.0
7,128x128,355x503,0.71875
7,128x128,500x500,0.9375
7,128x128,1000x1000,0.9375
7,128x128,920x1300,0.75
7,355x503,83x110,0.875
7,355x503,128x128,0.71875
7,355x503,355x503,1.0
7,355x503,500x500,0.65625
7,355x503,1000x1000,0.65625
7,355x503,920x1300,0.96875
7,500x500,83x110,0.75
7,500x500,128x128,0.9375
7,500x500,355x503,0.65625
7,500x500,500x500,1.0
7,500x500,1000x1000,1.0
7,500x500,920x1300,0.6875
7,1000x1000,83x110,0.75
7,1000x1000,128x128,0.9375
7,1000x1000,355x503,0.65625
7,1000x1000,500x500,1.0
7,1000x1000,1000x1000,1.0
7,1000x1000,920x1300,0.6875
7,920x1300,83x110,0.90625
7,920x1300,128x128,0.75
7,920x1300,355x503,0.96875
7,920x1300,500x500,0.6875
7,920x1300,1000x1000,0.6875
7,920x1300,920x1300,1.0
8,83x110,83x110,1.0
8,83x110,128x128,0.53125
8,83x110,355x503,0.9375
8,83x110,500x500,0.53125
8,83x110,1000x1000,0.5625
8,83x110,920x1300,0.9375
8,128x128,83x110,0.53125
8,128x128,128x128,1.0
8,128x128,355x503,0.46875
8,128x128,500x500,0.96875
8,128x128,1000x1000,0.96875
8,128x128,920x1300,0.5
8,355x503,83x110,0.9375
8,355x503,128x128,0.46875
8,355x503,355x503,1.0
8,355x503,500x500,0.46875
8,355x503,1000x1000,0.5
8,355x503,920x1300,0.96875
8,500x500,83x110,0.53125
8,500x500,128x128,0.96875
8,500x500,355x503,0.46875
8,500x500,500x500,1.0
8,500x500,1000x1000,0.96875
8,500x500,920x1300,0.5
8,1000x1000,83x110,0.5625
8,1000x1000,128x128,0.96875
8,1000x1000,355x503,0.5
8,1000x1000,500x500,0.96875
8,1000x1000,1000x1000,1.0
8,1000x1000,920x1300,0.53125
8,920x1300,83x110,0.9375
8,920x1300,128x128,0.5
8,920x1300,355x503,0.96875
8,920x1300,500x500,0.5
8,920x1300,1000x1000,0.53125
8,920x1300,920x1300,1.0
9,83x110,83x110,1.0
9,83x110,128x128,0.625
9,83x110,355x503,0.90625
9,83x110,500x500,0.65625
9,83x110,1000x1000,0.625
9,83x110,920x1300,0.9375
9,128x128,83x110,0.625
9,128x128,128x128,1.0
9,128x128,355x503,0.59375
9,128x128,500x500,0.96875
9,128x128,1000x1000,0.96875
9,128x128,920x1300,0.59375
9,355x503,83x110,0.90625
9,355x503,128x128,0.59375
9,355x503,355x503,1.0
9,355x503,500x500,0.625
9,355x503,1000x1000,0.59375
9,355x503,920x1300,0.96875
9,500x500,83x110,0.65625
9,500x500,128x128,0.96875
9,500x500,355x503,0.625
9,500x500,500x500,1.0
9,500x500,1000x1000,0.96875
9,500x500,920x1300,0.625
9,1000x1000,83x110,0.625
9,1000x1000,128x128,0.96875
9,1000x1000,355x503,0.59375
9,1000x1000,500x500,0.96875
9,1000x1000,1000x1000,1.0
9,1000x1000,920x1300,0.59375
9,920x1300,83x110,0.9375
9,920x1300,128x128,0.59375
9,920x1300,355x503,0.96875
9,920x1300,500x500,0.625
9,920x1300,1000x1000,0.59375
9,920x1300,920x1300,1.0
10,83x110,83x110,1.0
10,83x110,128x128,0.59375
10,83x110,355x503,0.9375
10,83x110,500x500,0.625
10,83x110,1000x1000,0.59375
10,83x110,920x1300,0.96875
10,128x128,83x110,0.59375
10,128x128,128x128,1.0
10,128x128,355x503,0.625
10,128x128,500x500,0.9375
10,128x128,1000x1000,0.96875
10,128x128,920x1300,0.59375
10,355x503,83x110,0.9375
10,355x503,128x128,0.625
10,355x503,355x503,1.0
10,355x503,500x500,0.65625
10,355x503,1000x1000,0.625
10,355x503,920x1300,0.96875
10,500x500,83x110,0.625
10,500x500,128x128,0.9375
10,500x500,355x503,0.65625
10,500x500,500x500,1.0
10,500x500,1000x1000,0.96875
10,500x500,920x1300,0.625
10,1000x1000,83x110,0.59375
10,1000x1000,128x128,0.96875
10,1000x1000,355x503,0.625
10,1000x1000,500x500,0.96875
10,1000x1000,1000x1000,1.0
10,1000x1000,920x1300,0.59375
10,920x1300,83x110,0.96875
10,920x1300,128x128,0.59375
